"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.","Município","Ano"
"2511103","Pedra Lavrada (PB)","6998"
"2511202","Pedras de Fogo (PB)","31152"
"2511301","Piancó (PB)","17006"
"2511400","Picuí (PB)","18835"
"2511509","Pilar (PB)","12801"
"2511608","Pilões (PB)","6979"
"2511707","Pilõezinhos (PB)","5514"
"2511806","Pirpirituba (PB)","9467"
"2511905","Pitimbu (PB)","17164"
"2512002","Pocinhos (PB)","17990"
"2512036","Poço Dantas (PB)","3932"
"2512077","Poço de José de Moura (PB)","4120"
"2512101","Pombal (PB)","33796"
"2512200","Prata (PB)","4027"
"2512309","Princesa Isabel (PB)","21659"
"2512408","Puxinanã (PB)","14837"
"2512507","Queimadas (PB)","50214"
"2512606","Quixaba (PB)","1798"
"2512705","Remígio (PB)","18373"
"2512721","Pedro Régis (PB)","5925"
"2512747","Riachão (PB)","2964"
"2512754","Riachão do Bacamarte (PB)","4877"
"2512762","Riachão do Poço (PB)","4946"
"2512788","Riacho de Santo Antônio (PB)","2044"
"2512804","Riacho dos Cavalos (PB)","8762"
"2512903","Rio Tinto (PB)","25394"
"2513000","Salgadinho (PB)","3437"
"2513109","Salgado de São Félix (PB)","11760"
"2513158","Santa Cecília (PB)","8031"
"2513208","Santa Cruz (PB)","6041"
"2513307","Santa Helena (PB)","6020"
"2513356","Santa Inês (PB)","3274"
"2513406","Santa Luzia (PB)","15387"
"2513505","Santana de Mangueira (PB)","5106"
"2513604","Santana dos Garrotes (PB)","6657"
"2513653","Joca Claudino (PB)","2606"
"2513703","Santa Rita (PB)","159121"
"2513802","Santa Teresinha (PB)","4499"
"2513851","Santo André (PB)","2702"
"2513901","São Bento (PB)","33700"
"2513927","São Bentinho (PB)","4473"
"2513943","São Domingos do Cariri (PB)","2676"
"2513968","São Domingos (PB)","2636"
"2513984","São Francisco (PB)","3190"
"2514008","São João do Cariri (PB)","4341"
"2514107","São João do Tigre (PB)","4363"
"2514206","São José da Lagoa Tapada (PB)","7270"
"2514305","São José de Caiana (PB)","5032"
"2514404","São José de Espinharas (PB)","4099"
"2514453","São José dos Ramos (PB)","6105"
"2514503","São José de Piranhas (PB)","19552"
"2514552","São José de Princesa (PB)","3383"
"2514602","São José do Bonfim (PB)","3333"
"2514651","São José do Brejo do Cruz (PB)","1748"
"2514701","São José do Sabugi (PB)","4270"
"2514800","São José dos Cordeiros (PB)","3474"
"2514909","São Mamede (PB)","7640"
"2515005","São Miguel de Taipu (PB)","7287"
"2515104","São Sebastião de Lagoa de Roça (PB)","11365"
"2515203","São Sebastião do Umbuzeiro (PB)","3376"
"2515302","Sapé (PB)","53309"
"2515401","São Vicente do Seridó (PB)","10620"
"2515500","Serra Branca (PB)","14075"
"2515609","Serra da Raiz (PB)","3162"
"2515708","Serra Grande (PB)","3043"
"2515807","Serra Redonda (PB)","6984"
"2515906","Serraria (PB)","4839"
"2515930","Sertãozinho (PB)","5282"
"2515971","Sobrado (PB)","8579"
"2516003","Solânea (PB)","27749"
"2516102","Soledade (PB)","14381"
"2516151","Sossêgo (PB)","3461"
"2516201","Sousa (PB)","69876"
"2516300","Sumé (PB)","17763"
"2516409","Tacima (PB)","7934"
"2516508","Taperoá (PB)","14376"
"2516607","Tavares (PB)","14464"
"2516706","Teixeira (PB)","15082"
"2516755","Tenório (PB)","3069"
"2516805","Triunfo (PB)","10259"
"2516904","Uiraúna (PB)","15386"
"2517001","Umbuzeiro (PB)","9302"
"2517100","Várzea (PB)","2764"
"2517209","Vieirópolis (PB)","4974"
"2517407","Zabelê (PB)","2310"
"2600054","Abreu e Lima (PE)","103945"
"2600104","Afogados da Ingazeira (PE)","42407"
"2600203","Afrânio (PE)","19349"
"2600302","Agrestina (PE)","24615"
"2600401","Água Preta (PE)","27221"
"2600500","Águas Belas (PE)","43713"
"2600609","Alagoinha (PE)","14355"
"2600708","Aliança (PE)","37372"
"2600807","Altinho (PE)","21185"
"2600906","Amaraji (PE)","18471"
"2601003","Angelim (PE)","10580"
"2601052","Araçoiaba (PE)","19936"
"2601102","Araripina (PE)","90104"
"2601201","Arcoverde (PE)","82003"
"2601300","Barra de Guabiraba (PE)","12616"
"2601409","Barreiros (PE)","42056"
"2601508","Belém de Maria (PE)","10829"
"2601607","Belém do São Francisco (PE)","18713"
"2601706","Belo Jardim (PE)","83647"
"2601805","Betânia (PE)","11981"
"2601904","Bezerros (PE)","64809"
"2602001","Bodocó (PE)","36129"
"2602100","Bom Conselho (PE)","46192"
"2602209","Bom Jardim (PE)","39278"
"2602308","Bonito (PE)","39163"
"2602407","Brejão (PE)","9399"
"2602506","Brejinho (PE)","8010"
"2602605","Brejo da Madre de Deus (PE)","51107"
"2602704","Buenos Aires (PE)","13254"
"2602803","Buíque (PE)","54425"
"2602902","Cabo de Santo Agostinho (PE)","216969"
"2603009","Cabrobó (PE)","31746"
"2603108","Cachoeirinha (PE)","20612"
"2603207","Caetés (PE)","30441"
"2603306","Calçado (PE)","11445"
"2603405","Calumbi (PE)","5367"
"2603454","Camaragibe (PE)","155771"
"2603504","Camocim de São Félix (PE)","17991"
"2603603","Camutanga (PE)","7972"
"2603702","Canhotinho (PE)","25090"
"2603801","Capoeiras (PE)","18890"
"2603900","Carnaíba (PE)","19513"
"2603926","Carnaubeira da Penha (PE)","12682"
"2604007","Carpina (PE)","83205"
"2604106","Caruaru (PE)","402290"
"2604155","Casinhas (PE)","13489"
"2604205","Catende (PE)","33279"
"2604304","Cedro (PE)","10845"
"2604403","Chã de Alegria (PE)","13461"
"2604502","Chã Grande (PE)","21224"
"2604601","Condado (PE)","25383"
"2604700","Correntes (PE)","17660"
"2604809","Cortês (PE)","10512"
"2604908","Cumaru (PE)","16252"
"2605004","Cupira (PE)","24301"
"2605103","Custódia (PE)","39403"
"2605152","Dormentes (PE)","17749"
"2605202","Escada (PE)","62252"
"2605301","Exu (PE)","33436"
"2605400","Feira Nova (PE)","22169"
"2605459","Fernando de Noronha (PE)","3316"
"2605509","Ferreiros (PE)","15794"
"2605608","Flores (PE)","20835"
"2605707","Floresta (PE)","31627"
"2605806","Frei Miguelinho (PE)","14070"
"2605905","Gameleira (PE)","17973"
"2606002","Garanhuns (PE)","151064"
"2606101","Glória do Goitá (PE)","30370"
"2606200","Goiana (PE)","85160"
"2606309","Granito (PE)","7206"
"2606408","Gravatá (PE)","91887"
"2606507","Iati (PE)","17605"
"2606606","Ibimirim (PE)","28760"
"2606705","Ibirajuba (PE)","7344"
"2606804","Igarassu (PE)","122312"
"2606903","Iguaracy (PE)","11366"
"2607000","Inajá (PE)","27488"
"2607109","Ingazeira (PE)","4959"
"2607208","Ipojuca (PE)","105638"
"2607307","Ipubi (PE)","30603"
"2607406","Itacuruba (PE)","4490"
"2607505","Itaíba (PE)","33691"
"2607604","Ilha de Itamaracá (PE)","25529"
"2607653","Itambé (PE)","36626"
"2607703","Itapetim (PE)","14232"
"2607752","Itapissuma (PE)","29463"
"2607802","Itaquitinga (PE)","17109"
"2607901","Jaboatão dos Guararapes (PE)","683285"
"2607950","Jaqueira (PE)","10483"
"2608008","Jataúba (PE)","16323"
"2608057","Jatobá (PE)","14463"
"2608107","João Alfredo (PE)","28903"
"2608206","Joaquim Nabuco (PE)","13506"
"2608255","Jucati (PE)","11975"
"2608305","Jupi (PE)","15943"
"2608404","Jurema (PE)","14027"
"2608453","Lagoa do Carro (PE)","18708"
"2608503","Lagoa de Itaenga (PE)","19915"
"2608602","Lagoa do Ouro (PE)","12364"
"2608701","Lagoa dos Gatos (PE)","14386"
"2608750","Lagoa Grande (PE)","24952"
"2608800","Lajedo (PE)","41786"
"2608909","Limoeiro (PE)","59125"
"2609006","Macaparana (PE)","24624"
"2609105","Machados (PE)","11471"
"2609154","Manari (PE)","26773"
"2609204","Maraial (PE)","9432"
"2609303","Mirandiba (PE)","14599"
"2609402","Moreno (PE)","57647"
"2609501","Nazaré da Mata (PE)","32153"
"2609600","Olinda (PE)","365402"
"2609709","Orobó (PE)","22438"
"2609808","Orocó (PE)","14100"
"2609907","Ouricuri (PE)","68329"
"2610004","Palmares (PE)","56615"
"2610103","Palmeirina (PE)","7154"
"2610202","Panelas (PE)","23449"
"2610301","Paranatama (PE)","12712"
"2610400","Parnamirim (PE)","19028"
"2610509","Passira (PE)","29719"
"2610608","Paudalho (PE)","59638"
"2610707","Paulista (PE)","362960"
"2610806","Pedra (PE)","23605"
"2610905","Pesqueira (PE)","65408"
"2611002","Petrolândia (PE)","35991"
"2611101","Petrolina (PE)","414083"
"2611200","Poção (PE)","10805"
"2611309","Pombos (PE)","26847"
"2611408","Primavera (PE)","14351"
"2611507","Quipapá (PE)","17974"
"2611533","Quixaba (PE)","6755"
"2611606","Recife (PE)","1587707"
"2611705","Riacho das Almas (PE)","21411"
"2611804","Ribeirão (PE)","34255"
"2611903","Rio Formoso (PE)","20460"
"2612000","Sairé (PE)","11218"
"2612109","Salgadinho (PE)","5620"
"2612208","Salgueiro (PE)","65635"
"2612307","Saloá (PE)","14173"
"2612406","Sanharó (PE)","18933"
"2612455","Santa Cruz (PE)","14320"
"2612471","Santa Cruz da Baixa Verde (PE)","11933"
"2612505","Santa Cruz do Capibaribe (PE)","104277"
"2612554","Santa Filomena (PE)","12402"
"2612604","Santa Maria da Boa Vista (PE)","42682"
"2612703","Santa Maria do Cambucá (PE)","14533"
"2612802","Santa Terezinha (PE)","10513"
"2612901","São Benedito do Sul (PE)","13479"
"2613008","São Bento do Una (PE)","51264"
"2613107","São Caitano (PE)","39117"
"2613206","São João (PE)","24772"
"2613305","São Joaquim do Monte (PE)","20440"
"2613404","São José da Coroa Grande (PE)","19468"
"2613503","São José do Belmonte (PE)","36752"
"2613602","São José do Egito (PE)","32491"
"2613701","São Lourenço da Mata (PE)","117759"
"2613800","São Vicente Férrer (PE)","17176"
"2613909","Serra Talhada (PE)","98143"
"2614006","Serrita (PE)","18759"
"2614105","Sertânia (PE)","34269"
"2614204","Sirinhaém (PE)","39233"
"2614303","Moreilândia (PE)","10849"
"2614402","Solidão (PE)","5403"
"2614501","Surubim (PE)","67515"
"2614600","Tabira (PE)","29093"
"2614709","Tacaimbó (PE)","14277"
"2614808","Tacaratu (PE)","24803"
"2614857","Tamandaré (PE)","24534"
"2615003","Taquaritinga do Norte (PE)","25497"
"2615102","Terezinha (PE)","6857"
"2615201","Terra Nova (PE)","9221"
"2615300","Timbaúba (PE)","47575"
"2615409","Toritama (PE)","43636"
"2615508","Tracunhaém (PE)","14393"
"2615607","Trindade (PE)","32086"
"2615706","Triunfo (PE)","15142"
"2615805","Tupanatinga (PE)","27009"
"2615904","Tuparetama (PE)","8252"
"2616001","Venturosa (PE)","17609"
"2616100","Verdejante (PE)","9474"
"2616183","Vertente do Lério (PE)","7782"
"2616209","Vertentes (PE)","22955"
"2616308","Vicência (PE)","27297"
"2616407","Vitória de Santo Antão (PE)","143799"
"2616506","Xexéu (PE)","11791"
"2700102","Água Branca (AL)","19550"
"2700201","Anadia (AL)","14193"
"2700300","Arapiraca (AL)","243661"
"2700409","Atalaia (AL)","38530"
"2700508","Barra de Santo Antônio (AL)","16735"
"2700607","Barra de São Miguel (AL)","8118"
"2700706","Batalha (AL)","17103"
"2700805","Belém (AL)","4820"
"2700904","Belo Monte (AL)","5898"
"2701001","Boca da Mata (AL)","21517"
"2701100","Branquinha (AL)","9786"
"2701209","Cacimbinhas (AL)","10701"
"2701308","Cajueiro (AL)","16605"
"2701357","Campestre (AL)","6807"
"2701407","Campo Alegre (AL)","32714"
"2701506","Campo Grande (AL)","8293"
"2701605","Canapi (AL)","15743"
"2701704","Capela (AL)","15068"
"2701803","Carneiros (AL)","9200"
"2701902","Chã Preta (AL)","6010"
"2702009","Coité do Nóia (AL)","11036"
"2702108","Colônia Leopoldina (AL)","15949"
"2702207","Coqueiro Seco (AL)","5700"
"2702306","Coruripe (AL)","51788"
"2702355","Craíbas (AL)","26115"
"2702405","Delmiro Gouveia (AL)","52809"
"2702504","Dois Riachos (AL)","9906"
"2702553","Estrela de Alagoas (AL)","15701"
"2702603","Feira Grande (AL)","23191"
"2702702","Feliz Deserto (AL)","4038"
"2702801","Flexeiras (AL)","9767"
"2702900","Girau do Ponciano (AL)","37335"
"2703007","Ibateguara (AL)","13992"
"2703106","Igaci (AL)","24452"
"2703205","Igreja Nova (AL)","22125"
"2703304","Inhapi (AL)","15417"
"2703403","Jacaré dos Homens (AL)","5182"
"2703502","Jacuípe (AL)","5432"
"2703601","Japaratinga (AL)","9443"
"2703700","Jaramataia (AL)","5075"
"2703759","Jequiá da Praia (AL)","9625"
"2703809","Joaquim Gomes (AL)","17386"
"2703908","Jundiá (AL)","4176"
"2704005","Junqueiro (AL)","24381"
"2704104","Lagoa da Canoa (AL)","18831"
"2704203","Limoeiro de Anadia (AL)","25197"
"2704302","Maceió (AL)","994464"
"2704401","Major Isidoro (AL)","17834"
"2704500","Maragogi (AL)","33232"
"2704609","Maravilha (AL)","9715"
"2704708","Marechal Deodoro (AL)","62341"
"2704807","Maribondo (AL)","13968"
"2704906","Mar Vermelho (AL)","3212"
"2705002","Mata Grande (AL)","22147"
"2705101","Matriz de Camaragibe (AL)","24330"
"2705200","Messias (AL)","15707"
"2705309","Minador do Negrão (AL)","4938"
"2705408","Monteirópolis (AL)","7341"
"2705507","Murici (AL)","25933"
"2705606","Novo Lino (AL)","10298"
"2705705","Olho d'Água das Flores (AL)","21132"
"2705804","Olho d'Água do Casado (AL)","8522"
"2705903","Olho d'Água Grande (AL)","4384"
"2706000","Olivença (AL)","11048"
"2706109","Ouro Branco (AL)","11699"
"2706208","Palestina (AL)","4410"
"2706307","Palmeira dos Índios (AL)","73596"
"2706406","Pão de Açúcar (AL)","24291"
"2706422","Pariconha (AL)","10803"
"2706448","Paripueira (AL)","14176"
"2706505","Passo de Camaragibe (AL)","14076"
"2706604","Paulo Jacinto (AL)","6697"
"2706703","Penedo (AL)","60189"
"2706802","Piaçabuçu (AL)","16201"
"2706901","Pilar (AL)","36499"
"2707008","Pindoba (AL)","2786"
"2707107","Piranhas (AL)","23053"
"2707206","Poço das Trincheiras (AL)","12974"
"2707305","Porto Calvo (AL)","24520"
"2707404","Porto de Pedras (AL)","9508"
"2707503","Porto Real do Colégio (AL)","20262"
"2707602","Quebrangulo (AL)","11305"
"2707701","Rio Largo (AL)","97435"
"2707800","Roteiro (AL)","6607"
"2707909","Santa Luzia do Norte (AL)","7065"
"2708006","Santana do Ipanema (AL)","47397"
"2708105","Santana do Mundaú (AL)","11568"
"2708204","São Brás (AL)","6557"
"2708303","São José da Laje (AL)","21193"
"2708402","São José da Tapera (AL)","31557"
"2708501","São Luís do Quitunde (AL)","31792"
"2708600","São Miguel dos Campos (AL)","53391"
"2708709","São Miguel dos Milagres (AL)","8687"
"2708808","São Sebastião (AL)","32701"
"2708907","Satuba (AL)","25000"
"2708956","Senador Rui Palmeira (AL)","12549"
"2709004","Tanque d'Arca (AL)","5909"
"2709103","Taquarana (AL)","19422"
"2709152","Teotônio Vilela (AL)","39161"
"2709202","Traipu (AL)","24124"
"2709301","União dos Palmares (AL)","60874"
"2709400","Viçosa (AL)","24423"
"2800100","Amparo do São Francisco (SE)","2206"
"2800209","Aquidabã (SE)","20542"
"2800308","Aracaju (SE)","628849"
"2800407","Arauá (SE)","10483"
"2800506","Areia Branca (SE)","18560"
"2800605","Barra dos Coqueiros (SE)","44384"
"2800670","Boquim (SE)","25038"
"2800704","Brejo Grande (SE)","8016"
"2801009","Campo do Brito (SE)","18646"
"2801108","Canhoba (SE)","3855"
"2801207","Canindé de São Francisco (SE)","33491"
"2801306","Capela (SE)","32716"
"2801405","Carira (SE)","20315"
"2801504","Carmópolis (SE)","14179"
"2801603","Cedro de São João (SE)","5482"
"2801702","Cristinápolis (SE)","17539"
"2801900","Cumbe (SE)","3906"
"2802007","Divina Pastora (SE)","4433"
"2802106","Estância (SE)","66978"
"2802205","Feira Nova (SE)","6207"
"2802304","Frei Paulo (SE)","14884"
"2802403","Gararu (SE)","11301"
"2802502","General Maynard (SE)","3111"
"2802601","Graccho Cardoso (SE)","5979"
"2802700","Ilha das Flores (SE)","8495"
"2802809","Indiaroba (SE)","16949"
"2802908","Itabaiana (SE)","108408"
"2803005","Itabaianinha (SE)","42114"
"2803104","Itabi (SE)","4823"
"2803203","Itaporanga d'Ajuda (SE)","35863"
"2803302","Japaratuba (SE)","16472"
"2803401","Japoatã (SE)","13707"
"2803500","Lagarto (SE)","105558"
"2803609","Laranjeiras (SE)","24170"
"2803708","Macambira (SE)","7024"
"2803807","Malhada dos Bois (SE)","3666"
"2803906","Malhador (SE)","11728"
"2804003","Maruim (SE)","15975"
"2804102","Moita Bonita (SE)","11288"
"2804201","Monte Alegre de Sergipe (SE)","14732"
"2804300","Muribeca (SE)","8033"
"2804409","Neópolis (SE)","16558"
"2804458","Nossa Senhora Aparecida (SE)","9496"
"2804508","Nossa Senhora da Glória (SE)","43255"
"2804607","Nossa Senhora das Dores (SE)","25537"
"2804706","Nossa Senhora de Lourdes (SE)","6404"
"2804805","Nossa Senhora do Socorro (SE)","202450"
"2804904","Pacatuba (SE)","12709"
"2805000","Pedra Mole (SE)","2818"
"2805109","Pedrinhas (SE)","7416"
"2805208","Pinhão (SE)","5769"
"2805307","Pirambu (SE)","8037"
"2805406","Poço Redondo (SE)","29117"
"2805505","Poço Verde (SE)","22214"
"2805604","Porto da Folha (SE)","27350"
"2805703","Propriá (SE)","27273"
"2805802","Riachão do Dantas (SE)","18579"
"2805901","Riachuelo (SE)","8875"
"2806008","Ribeirópolis (SE)","17362"
"2806107","Rosário do Catete (SE)","9499"
"2806206","Salgado (SE)","20772"
"2806305","Santa Luzia do Itanhy (SE)","13965"
"2806404","Santana do São Francisco (SE)","7530"
"2806503","Santa Rosa de Lima (SE)","4038"
"2806602","Santo Amaro das Brotas (SE)","11297"
"2806701","São Cristóvão (SE)","100360"
"2806800","São Domingos (SE)","10550"
"2806909","São Francisco (SE)","3323"
"2807006","São Miguel do Aleixo (SE)","3481"
"2807105","Simão Dias (SE)","44285"
"2807204","Siriri (SE)","7984"
"2807303","Telha (SE)","3373"
"2807402","Tobias Barreto (SE)","52613"
"2807501","Tomar do Geru (SE)","12145"
"2807600","Umbaúba (SE)","24538"
"2900108","Abaíra (BA)","7452"
"2900207","Abaré (BA)","18240"
"2900306","Acajutiba (BA)","14215"
"2900355","Adustina (BA)","14554"
"2900405","Água Fria (BA)","14871"
"2900504","Érico Cardoso (BA)","10948"
"2900603","Aiquara (BA)","4586"
"2900702","Alagoinhas (BA)","160662"
"2900801","Alcobaça (BA)","25494"
"2900900","Almadina (BA)","5327"
"2901007","Amargosa (BA)","38478"
"2901106","Amélia Rodrigues (BA)","24848"
"2901155","América Dourada (BA)","15583"
"2901205","Anagé (BA)","26715"
"2901304","Andaraí (BA)","13531"
"2901353","Andorinha (BA)","15485"
"2901403","Angical (BA)","14178"
"2901502","Anguera (BA)","11456"
"2901601","Antas (BA)","15061"
"2901700","Antônio Cardoso (BA)","11501"
"2901809","Antônio Gonçalves (BA)","11236"
"2901908","Aporá (BA)","16379"
"2901957","Apuarema (BA)","7114"
"2902005","Aracatu (BA)","14422"
"2902054","Araçás (BA)","11946"
"2902104","Araci (BA)","50336"
"2902203","Aramari (BA)","10122"
"2902252","Arataca (BA)","10463"
"2902302","Aratuípe (BA)","8981"
"2902401","Aurelino Leal (BA)","11409"
"2902500","Baianópolis (BA)","14110"
"2902609","Baixa Grande (BA)","18680"
"2902658","Banzaê (BA)","12309"
"2902708","Barra (BA)","53528"
"2902807","Barra da Estiva (BA)","27582"
"2902906","Barra do Choça (BA)","38481"
"2903003","Barra do Mendes (BA)","14345"
"2903102","Barra do Rocha (BA)","5920"
"2903201","Barreiras (BA)","170667"
"2903235","Barro Alto (BA)","13911"
"2903276","Barrocas (BA)","15743"
"2903300","Barro Preto (BA)","5966"
"2903409","Belmonte (BA)","20567"
"2903508","Belo Campo (BA)","19042"
"2903607","Biritinga (BA)","15606"
"2903706","Boa Nova (BA)","14052"
"2903805","Boa Vista do Tupim (BA)","17307"
"2903904","Bom Jesus da Lapa (BA)","68704"
"2903953","Bom Jesus da Serra (BA)","10028"
"2904001","Boninal (BA)","14104"
"2904050","Bonito (BA)","16393"
"2904100","Boquira (BA)","19829"
"2904209","Botuporã (BA)","11411"
"2904308","Brejões (BA)","13272"
"2904407","Brejolândia (BA)","9377"
"2904506","Brotas de Macaúbas (BA)","12169"
"2904605","Brumado (BA)","74095"
"2904704","Buerarema (BA)","15056"
"2904753","Buritirama (BA)","20212"
"2904803","Caatiba (BA)","6224"
"2904852","Cabaceiras do Paraguaçu (BA)","17039"
"2904902","Cachoeira (BA)","30550"
"2905008","Caculé (BA)","23246"
"2905107","Caém (BA)","10729"
"2905156","Caetanos (BA)","11500"
"2905206","Caetité (BA)","54572"
"2905305","Cafarnaum (BA)","18039"
"2905404","Cairu (BA)","18486"
"2905503","Caldeirão Grande (BA)","13566"
"2905602","Camacan (BA)","22756"
"2905701","Camaçari (BA)","319394"
"2905800","Camamu (BA)","31775"
"2905909","Campo Alegre de Lourdes (BA)","32377"
"2906006","Campo Formoso (BA)","74894"
"2906105","Canápolis (BA)","10612"
"2906204","Canarana (BA)","24989"
"2906303","Canavieiras (BA)","34343"
"2906402","Candeal (BA)","7969"
"2906501","Candeias (BA)","75083"
"2906600","Candiba (BA)","13425"
"2906709","Cândido Sales (BA)","26465"
"2906808","Cansanção (BA)","39556"
"2906824","Canudos (BA)","16662"
"2906857","Capela do Alto Alegre (BA)","11055"
"2906873","Capim Grosso (BA)","35228"
"2906899","Caraíbas (BA)","10260"
"2906907","Caravelas (BA)","21229"
"2907004","Cardeal da Silva (BA)","8634"
"2907103","Carinhanha (BA)","30375"
"2907202","Casa Nova (BA)","75815"
"2907301","Castro Alves (BA)","25471"
"2907400","Catolândia (BA)","3560"
"2907509","Catu (BA)","50153"
"2907558","Caturama (BA)","9115"
"2907608","Central (BA)","16849"
"2907707","Chorrochó (BA)","10929"
"2907806","Cícero Dantas (BA)","32268"
"2907905","Cipó (BA)","17836"
"2908002","Coaraci (BA)","17663"
"2908101","Cocos (BA)","19817"
"2908200","Conceição da Feira (BA)","21499"
"2908309","Conceição do Almeida (BA)","16184"
"2908408","Conceição do Coité (BA)","71316"
"2908507","Conceição do Jacuípe (BA)","37409"
"2908606","Conde (BA)","24434"
"2908705","Condeúba (BA)","17571"
"2908804","Contendas do Sincorá (BA)","4490"
"2908903","Coração de Maria (BA)","28258"
"2909000","Cordeiros (BA)","7763"
"2909109","Coribe (BA)","14464"
"2909208","Coronel João Sá (BA)","17593"
"2909307","Correntina (BA)","34179"
"2909406","Cotegipe (BA)","13472"
"2909505","Cravolândia (BA)","4514"
"2909604","Crisópolis (BA)","20343"
"2909703","Cristópolis (BA)","14514"
"2909802","Cruz das Almas (BA)","63203"
"2909901","Curaçá (BA)","36021"
"2910008","Dário Meira (BA)","11094"
"2910057","Dias d'Ávila (BA)","75053"
"2910107","Dom Basílio (BA)","12309"
"2910206","Dom Macedo Costa (BA)","4588"
"2910305","Elísio Medrado (BA)","8066"
"2910404","Encruzilhada (BA)","19535"
"2910503","Entre Rios (BA)","39902"
"2910602","Esplanada (BA)","34146"
"2910701","Euclides da Cunha (BA)","64547"
"2910727","Eunápolis (BA)","120515"
"2910750","Fátima (BA)","18469"
"2910776","Feira da Mata (BA)","5825"
"2910800","Feira de Santana (BA)","657948"
"2910859","Filadélfia (BA)","18573"
"2910909","Firmino Alves (BA)","5006"
"2911006","Floresta Azul (BA)","11442"
"2911105","Formosa do Rio Preto (BA)","27421"
"2911204","Gandu (BA)","33938"
"2911253","Gavião (BA)","4493"
"2911303","Gentio do Ouro (BA)","11263"
"2911402","Glória (BA)","16072"
"2911501","Gongogi (BA)","5567"
"2911600","Governador Mangabeira (BA)","21314"
"2911659","Guajeru (BA)","8225"
"2911709","Guanambi (BA)","93065"
"2911808","Guaratinga (BA)","19490"
"2911857","Heliópolis (BA)","13074"
"2911907","Iaçu (BA)","25333"
"2912004","Ibiassucê (BA)","10754"
"2912103","Ibicaraí (BA)","22200"
"2912202","Ibicoara (BA)","21690"
"2912301","Ibicuí (BA)","14306"
"2912400","Ibipeba (BA)","17128"
"2912509","Ibipitanga (BA)","14316"
"2912608","Ibiquera (BA)","3837"
"2912707","Ibirapitanga (BA)","26794"
"2912806","Ibirapuã (BA)","9259"
"2912905","Ibirataia (BA)","19375"
"2913002","Ibitiara (BA)","15062"
"2913101","Ibititá (BA)","17509"
"2913200","Ibotirama (BA)","27670"
"2913309","Ichu (BA)","6415"
"2913408","Igaporã (BA)","16047"
"2913457","Igrapiúna (BA)","13528"
"2913507","Iguaí (BA)","21897"
"2913606","Ilhéus (BA)","189028"
"2913705","Inhambupe (BA)","35397"
"2913804","Ipecaetá (BA)","14064"
"2913903","Ipiaú (BA)","42507"
"2914000","Ipirá (BA)","59264"
"2914109","Ipupiara (BA)","10318"
"2914208","Irajuba (BA)","6255"
"2914307","Iramaia (BA)","11060"
"2914406","Iraquara (BA)","24759"
"2914505","Irará (BA)","29509"
"2914604","Irecê (BA)","78425"
"2914653","Itabela (BA)","29563"
"2914703","Itaberaba (BA)","68244"
"2914802","Itabuna (BA)","196676"
"2914901","Itacaré (BA)","29337"
"2915007","Itaeté (BA)","13822"
"2915106","Itagi (BA)","14314"
"2915205","Itagibá (BA)","15792"
"2915304","Itagimirim (BA)","6512"
"2915353","Itaguaçu da Bahia (BA)","12683"
"2915403","Itaju do Colônia (BA)","6157"
"2915502","Itajuípe (BA)","19249"
"2915601","Itamaraju (BA)","62065"
"2915700","Itamari (BA)","7219"
"2915809","Itambé (BA)","25108"
"2915908","Itanagra (BA)","6087"
"2916005","Itanhém (BA)","18258"
"2916104","Itaparica (BA)","20369"
"2916203","Itapé (BA)","10658"
"2916302","Itapebi (BA)","9501"
"2916401","Itapetinga (BA)","68735"
"2916500","Itapicuru (BA)","33254"
"2916609","Itapitanga (BA)","10630"
"2916708","Itaquara (BA)","8448"
"2916807","Itarantim (BA)","17517"
"2916856","Itatim (BA)","16375"
"2916906","Itiruçu (BA)","11261"
"2917003","Itiúba (BA)","35491"
"2917102","Itororó (BA)","16945"
"2917201","Ituaçu (BA)","18493"
"2917300","Ituberá (BA)","22299"
"2917334","Iuiu (BA)","11532"
"2917359","Jaborandi (BA)","9592"
"2917409","Jacaraci (BA)","14901"
"2917508","Jacobina (BA)","86649"
"2917607","Jaguaquara (BA)","47738"
"2917706","Jaguarari (BA)","34440"
"2917805","Jaguaripe (BA)","18300"
"2917904","Jandaíra (BA)","9535"
"2918001","Jequié (BA)","168733"
"2918100","Jeremoabo (BA)","39501"
"2918209","Jiquiriçá (BA)","14066"
"2918308","Jitaúna (BA)","14815"
"2918357","João Dourado (BA)","25799"
"2918407","Juazeiro (BA)","254481"
"2918456","Jucuruçu (BA)","9944"
"2918506","Jussara (BA)","16956"
"2918555","Jussari (BA)","6059"
"2918605","Jussiape (BA)","7585"
"2918704","Lafaiete Coutinho (BA)","4221"
"2918753","Lagoa Real (BA)","14546"
"2918803","Laje (BA)","21704"
"2918902","Lajedão (BA)","3986"
"2919009","Lajedinho (BA)","3621"
"2919058","Lajedo do Tabocal (BA)","7702"
"2919108","Lamarão (BA)","9305"
"2919157","Lapão (BA)","26998"
"2919207","Lauro de Freitas (BA)","217960"
"2919306","Lençóis (BA)","11170"
"2919405","Licínio de Almeida (BA)","12208"
"2919504","Livramento de Nossa Senhora (BA)","46249"
"2919553","Luís Eduardo Magalhães (BA)","116662"
"2919603","Macajuba (BA)","10758"
"2919702","Macarani (BA)","22596"
"2919801","Macaúbas (BA)","43725"
